Text,Sentiment
AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1
watch for move on F M KO MO GD TJX BCD,1
"AAP if TC did his job and managed the stock not his job to mng stock.. mng Co yes, stock has very little to do with Co.",1
"The key is not to panic here. AAP is in the domain of twitchy day traders on robots now, but long term should hold up on fundamentals",1
"Core Sector Growth Up 5.5% In February, Highest In 11 Months",1
"HTZ great move to new highs out of that triangle, very strong",1
VNG I swear never seen such terrible reporting on one stock ever in my life > The Cuban news is not negative lol,1
CEE that was short at 43.83 target 43 lower,-1
"MEA sell stocks at 1,3 we wait for it lower",-1
Cover 1/2 P here 12.62 and set last 1/2 stop to 14.,-1
"We explain in the Jan 24th aapl video how not to be gaffed by the operators,...fish hooks...aapl might be great co , but broken sto",-1
AAP taking some off here 440.90ish,1
"Green Monthly Triangle on ISIS,....Scaling Down",-1
AAP breaking support on heavy volume - sharing a few insights VIDEO,-1
last minute add-on to watchlist: DPS,1
"This is AAP's 9th consecutive day under the 2003 trendline. When a multi-year trend breaks, be short or be long gone.",-1
At 155 for GS but very bullish on fins as rates are low = The FED Put!,1
BK buys HNZ is HSY next? Warren must like chocolate bars with a coke KO,1
AAP Probabilities rising for a test of the 2003 trendline in the ST. Mean reversion pts to 350.,-1
MCD bear flag on daily.. needs to hold below 94-93...,-1
AAP If TC announces bringing cash back to S>> Made in SA = ess Profit for Shareholders & Share will drop on anticipation...,-1
FX was the other big morning gapper,1
Trying to extend hundreds-of-billions of dollars of small-business credit through U.S. banks is like putting a rounâ€¦,-1
HPQ heading back over 20 imo! Funds oading!,1
"I was looking at CS for a potential bounce play w/ AAP earnings, but imo AAP won't do 13 eps even if it does guidance will be key",-1
OPXA Any close above 2.23 would be great . Could explode higher.,1
"Si VFC cae bajo 145,53 , entrar cortos. Stop loss en 146,55 .",-1
AAP The Dump will come faster than the pump IMO !,-1
Nice one from user Marketshare or Margin....the AAP dilemma...,1
AMD bailed out at 2.70 dropped under 2.50 thought good but may rebuy in now as going to 3 with catalyst confirmation by end 2013 - 6.00,1
VXY VIX is Done till Jobs eport - Try CAS on FAS BAC GS C XIV,-1
"SWHC still holding all my shares bought at 7.69. Have June10 Calls that are playing well too. Sold my MA9s yesterday, too soon.",1
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1
GOOG 15 min dot alert subscibers have made out HGE on these signal!! OMG that it serious good,1
The first major national election of the coronavirus era offers new avenues to reform Korea Inc.,1
AAP goes higher on European close.. IMHO,1
PAY ncertainty is never a good thing.,-1
Banks Shelve Fundraising As Coronavirus Derails Markets: Report,-1
AF short (AP 52.50 puts) working on the highs this AM :) Stochastic crossover,-1
GMX just .20 cents until target.,-1
February Trade Deficit At $9.85 Billion,-1
CEN nice orderly channel. setting up for higher prices IMO. volume confirmation of course.,1
FOS bullish engulfing.,1
"RT : Where the $250 billion small business loans went, per 1,000 small businesses",1
X option trader takes profits in Feb26P selling 8k against 8k OI and rolling position to Feb 25P buying 8K at 1.48,-1
QCO and it went again.,1
AFFY un to DOBE continues,1
AAP tips for TC.. The other tim did it TMI raises div buys back stock,1
NVDA NVIDIA shows off Phoenix reference phone at MWC 2013,1
"Green Weekly Triangle on PBY,....Open Sell Short at 10.95",-1
AAP back to 450 i guess for a pin,-1
", ES,SPY, Ground Hog Week, distribution at highs..",-1
"Some good, strong follow through early on today on BBY DNDN Others that are poised (set up) to move:",1
"Sensex Falls Over 200 Points, Nifty Slides Below 9,050 Amid Volatile Trade",-1
PHM Nice ooking Cup & Handle with a pivot of 21.6 when it breaks this resistance on volume go long,1
SHOT AO 38.99,-1
People's Bank Of China Acquires 1% Stake In HDFC Amid Markets Downturn,1
SPY giving AAP the finger. We don't care about you anymore lol,-1
AAP (65mins) Evening star reversal with potential downtrend resistance,-1
"In areas where tanker-ship storage for oil isnâ€™t readily available, producers could need to go to extremes to get râ€¦",-1
KEX trying a short 8.47 filled and more at 8.57 with a .10 stop,-1
STX - high call vol. 12.71% short Check WDC as well. STX better hard drives. always rumor buyout,1
"Chinaâ€™s restrictions strand face masks, coronavirus test kits and other critical products bound for the U.S., Stateâ€¦",1
GME breaking out of the handle,1
"My SHOTS, various strats, AXDX CMCO DGIT D ECYT EPIQ GDD GMAN ICGE IDIX MXW OME PETS ECN SCMP SGI SIMO SNFCA",-1
"JPM broke out an important resistance at 46,87 with solid volume. The trend is in favour of Bulls",1
"AAP enjoying some really nice gains right now from my SHOT. Next stop 465, if that does not hold I expect APPE to make a new 52OW soon.",-1
HB H& Block makes bets on 11%+ up move by April,1
"OCN down small from entry, low volume decline into support",1
AAP never imagined aapl in dumps for so long BBY NOK,-1
DECK Once again proving to be bullish (confirming) bouncing above the 20 day on increased volume.,1
AMZN - still in its uptrend motion. Buy dips.,1
"A half-trillion-euro plan to cushion Europe from the coronavirus didnâ€™t include common debt issuance, a negative foâ€¦",-1
March Sees India's Biggest Monthly Foreign Investor Rout Ever,-1
STI daily - into the Kirby.,1
ZNGA I use lagging indicators on lagging stocks ;),-1
INFI from watch list gapped over line - vol just 5% of ave full day - watching,1
NYSE After-hour Most Advanced: HCI EX EPZ POE PQ EDG SXC GTI EGY,1
First ever purchase..splurged on a new mat for Bikram (I hear frond green is hot w/ the ladies --> via user,1
BAC still see this getting back to 10.50 possibly lower when the overall market pulls back next month.,-1
BAC 60 min bullish harmonic w/Fibs,1
FB I do wonder if the same shorts in FB today were in NKD last year at 80. They seem to be making the same argument. QQQ XK,1
"Trend in outsourcing...workforce...is extremely strong, especially in the medical industry... ASGN has a lot of room to grow. - Drogen",1
GMC from watch list gapped over line with volume of 10% average full day,1
"3 tech stocks with staying power - IBM, Intel INTC & Qualcomm QCOM. And QCOM lets you keep AAP exposure to boot!",1
AAP below 557 has led to downside follow thru. i have 452 as my 1st support,-1
cstr found support at 26 ema. nder the 50 sma tho look to short under 26 ema & add on cloud break,-1
"MON SI declining, downward trend, 98 support weakening, 8 & 20 DMA curling down. 96 is next.",-1
DGIT long for 10 crack at 9.97,1
GMX taking more off here 3.89,1
S have anyone noticed the HGE volume today? If this thing pushes through 6 today we might have a runner for next week.,1
bet it all on AAP right now. ather bet on AAP 52 week low than all the vapour-ware 52 or A time highs.. poof,1
MAKO on watch list moving up toward line at 12.54 with volume of 54% of ave full day,1
YHOO Yahoo is a iberal hangout. History shows us that those who love big government always lose out in the end.,-1
AAP 462.50!,1
"Wipro profit at Rs 2,326 crore in January-March, drops over 5% from previous quarter",-1
"A look at the short-term relief available to small businesses, so they can sustain their operations and keep theirâ€¦",1
"If you'd like to gag on the New American Socialism, enjoy this video courtesy AIG:",-1
BAC ot of Big Sellers on 2 New OD again 12.12 Expect a big sell-of EOD,-1
AMZN looking to add to short position on any bounce,-1
"O - short setup if signal fires, like this, it will be a 50sma reject and weekly & monthly time frames look like they are weakening",-1
Starter long BAC after hours on Friday 12.56,1
BA for a flush down,-1
AAP Short 468.44 on NO NEWS and no sustain in volume !,-1
"Notable S in OPEN, but general market heavy",1
BID -puts were active yesterday going out to Jan,-1
"BAC 100% Cash -->I will never listen to the sirens say Keep r Trade Overnight, it will Gapp Never... I Promise ;-)",1
"NVDA enko view showing red and dead, need 14 or more for a long & less than 13 for a short",-1
ANAD Went. slowly but went from 2.15 fib level.,1
"AAP - fired sell signal on hourly, targets 435 area - just shorted it",-1
Market is looking strong. Think financials will catapult SPX towards 1500 next week. GS BAC,1
"DEPO sell short 6.43 scaling, next level 6.27",-1
V - watching this channel closely. Already at 11% vol. Slightly above average.,1
SFY would start with a trade to the second line - so starting over 33.30,1
GOOG will look to cover little around 808,-1
GD SV NGT ABX FCX NEM - Goldman Sachs cuts forecast for gold prices in 2013 and 2014,-1
DAA nice double bottom formed scale buy here 1.00 bullish,1
"AAP Smile of Friday EOD : The ast 6 Times Tim Cook Has Talked, Apple's Stock Has Dropped",-1
PCS - shhhhh,1
JPMorgan CEO Writes in Shareholder Letter: Expecting â€˜a Bad Recessionâ€™,-1
"ong V for trade at 161.20, hope you have been watching this channel.",1
ZNGA Momentum building to the upside.? On watch.,1
VZ making new highs again,1
OC coming to 29.50 or wishful thinking?? 0.8% Div - Buys Tekelec - 3rd major buy this yr,-1
Omega Advisors initiated a 3 million share stake in FB also sold his entire stake in Apple AAP,-1
CPB sitting at a 52 week high. I am short but bracketed with 43.70 being my stop and 41.78 being my trigger. Not looking good right now.,-1
NTI buying 8.80 -8.83 - BYING MOE 8.87 -8.90 - magic 9 test,1
COH worse and worse,-1
AAP wouldn't be surprised to see retest of 435 level as new resistance sometimes this week,-1
"Tata Steel Europe To Cut 1,250 Jobs In Turnaround Push",-1
: user: I still say AAP 1k before GOOG ignorance is bliss my friend and an education is expensive ;),1
"AN rally on MS upgrade might be enough to keep us long, price needs to reclaim 10wk",1
"JCP think this one rolls over here towards the EOD, this one does have the chance of bankruptcy, cash balances lower, avail. C lines lower",-1
AAP i love you but I'm,-1
C perfect follow through day...,1
"a lots, I want to cover at 3.88, so I have to complete 25 to 35K of shares AMPE",-1
COX short looking good but we'll see after the bell.,-1
"Sensex Recovers Over 5,000 Points From Day's Low As Trading Resumes After Halt",1
GOOG Stop loss in 804.41 after beating 805.50,1
Bought NH to open . ooks like a new trend,1
bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64% improvement q o q,1
EBAY Nice consolidation since break out after earnings. Waiting for break out above 57.27..,1
AAP down 60 and VXAP down 11. Good that VXAP is not tradable else many would have hedged their AAP shares by going long VXAP.,-1
WFM - short back on,-1
i'm amazed that ms is holding up in this tape. thought for sure once it hit below 22 this morning it would tank. wrong again.,-1
NVDA rebounded strongly today on pretty heavy volume and might be on the way up again.,1
BA continuing it's run,1
"CAT Trap door will open soon imo, now German GDP Weakening, say goodbye to any growth!",-1
G going to 2.68.,-1
"Blow-off top coming in the S&P between 1565-1575. Vix is low, buy puts in the SPY April and May 154,153,152,151 strikes 1565-75 SPY",-1
Gold Price Spikes As US Joblessness Data Lifts Safe-Haven Demand,1
"EBAY ripping, nearing PT around 55.50ish",1
PO is perking up again. Very strong specialty chemicals' stock,1
"SPY, ES, Define risk always, keep sizes proportionate, risk only what u can afford to lose..",-1
CST about to go ed to GEEN watch break of 50day by wks end time to rock and roll baby,1
OPXA taking some here long small stop,1
tol doji yesterday could mean another lower high. Wait for close into cloud before going short,-1
U.K. foreign-exchange company paid about $2.3 million in bitcoin to cybercriminals months before its business beganâ€¦,-1
SWI was a beaut,1
SAVE again edges up; our analysis + a look at budget carriers: YAAY,1
Dow gains more than 770 points on hopes the economy will recover from coronavirus,1
INFN taking some off here,1
ZNGA woow look at this... Should we consider this as a bearish engulfing?,-1
Bought my very first NKE golf apparel yesterday...golf is now a serious fashion biz. crazy and young and colorful,1
AAP positive close above 530 today is bullish. I'll be looking for possible ONG set up.,1
yhoo Business Insider post about yhoo out this afternoon. would be beautiful if aapl met with Marissa,1
"FOD cover at 3.93,....net profit 1,571.00,...ugly triangle, no more with FOD",-1
"Riskier investments, including junk bonds and nongovernment-backed mortgages, are being left behind as markets atteâ€¦",-1
is this a potential h&s on with neckline 65ish?,-1
Do you think the ZOT support level means anything now after the recent news?,1
FS en fuego!!,1
DDD - Breaks 50 day.... Stops at 50,-1
CAT green to red soon.,-1
"A nder Armour option trader buys 3,200 calls before earnings betting on 6% up move",1
If you're invested in or trading HF or JCP. Step aside & let these two elephants do battle. You'll just be collateral damage.,-1
RT : The record unemployment claims reported Thursday are unlikely to show up in Fridayâ€™s key jobs report. Here is why.,-1
"CHK 6,600 Weekly 20.50P bought vs. OI of 148",-1
"Green Weekly & Monthly Triangle on ISIS,....Net Profit 75,852.90 (4.93%)",1
Is there a tax break hiding in your home office?,-1
SWHC looks like ban on large capacity magazines and more hurdles to purchase are on the table for the politicians. Was on the Evening News,1
AMPE bouncing after 8-day sell off. Estimates of how high?,1
"I would be worried if I was short trend is reversing, stock back above 50d on weekly and daily, macd curling up, get ready for squeeze",1
AAP all i know is ipad minis are out of stock everywhere. been going to 8 different stores and none of them have em in stock,1
"ed Daily Triangle on CYTX,....Open ong and Short at 3.38",1
"AFFX strong, no pos",1
AAP ahhh my favorite short for weeks now - Building cause for lower prices,-1
Stopped on rest of GOOG +1.25,-1
"Holding horz support, BB squeeze, rising vol. watching to clear 200 sma 68.33",1
EPS made a quick 10 min trade 7.52-7.73. looks like might of jumped out too early might pass 8.00,1
"RT : The economy has almost certainly entered a recession affecting most of the world, with a severity unmatched by anything eâ€¦",-1
NX On flag break,1
JPMorgan Chase and Wells Fargo have set aside billions of dollars to cope with the coronavirus fallout. That may beâ€¦,1
BAC Back run down to 11.75 area to consolidate.. Sell Off & Profit Take !,-1
Out 3/4 of short VHC,-1
AAP (daily) Three Black Crows and 50 (ema) teaming up**,-1
PI 3Q 10Q operational cash flow for 9mos -20million. 269%decline vs. 9mos year ago.,-1
"MTG Major resistance at 2.80 which is Fib level and 20 day MA. if you are long, good luck.",-1
AIG looking for entry here.,1
JOSB outlier risk profile closer to 24 so will be interesting to see what happens as folks exit options they've written,-1
"Sensex Jumps Over 1,150 Points, Nifty Touches 9,000 Ahead Of RBI Announcement",1
A ot of New Additions to the Short Watch-ist | EBAY AIA BBVA at the top of the list,-1
M Settling in with 27.40.,1
AAP breakout is imminent. Although trading on pathetic vol now.. no -sellers -GOOD,1
Two trades I'm eying GOOG and GD.,1
"Sensex opens 1,096 points lower at 27,773, Nifty at 8,063 as selloff in global markets continues on coronavirus sca…",-1
NVDA - IHS daily oversold,1
"Sensex Closes 1,325 Points Higher After Hitting Lower Circuit",1
"Sensex Plunges Over 1,600 Points From Day's High, Nifty Tests 8,800",-1
Back in BK long. Nice reaction to earnings. This has the makings of a runaway/measuring type gap.,1
GOOG this market leader continues to hold up well,1
"AXP coming off Catfish buy, extreme fractal buy and an orange dot buy ! and Chaos event PWmo2",1
HPQ NVDA QCOM umored HP tablet could use Tegra 4 chip and Android as its OS,1
"ES,SPY You wont here this on CNBC,,,real time assessment of jobs number mkt reactions...",-1
AAP don't touch it unless we get a close above 465 with volume (Earnings gap).,-1
VNG - taking an overnight position for few days 3.30 - looks prime - someone accumulating some here - for something,1
It's fair to say trendfollowers who where short PX at the close yesterday will be having a very uncomfortable day today.,1
"U.S. banks will likely be allowed to keep paying dividends, even as the coronavirus pandemic threatens to create aâ€¦",-1
AAP will test 430 today,-1
MNK watchn thru hod 328,1
"AAP a bull bought 2k Apr 425C for up 16.75 each, laying out nearly 3.3 million in premium.",1
WMT 5 min,1
GD SV NEM ABX AY P DZZ - The Price of Gold plunges to six-month low,-1
Rupee Gains By 34 Paise To 74.78 Against Dollar,-1
"PPO: actual #s for volt & leaf tell a different story than mgmt's. 3) feb leaf sales down M/M again, now to 500 units. (3/4)",-1
Triple bottoms are rare. This is the third time that AAP traded near 500 in last 2 months. Still too many AAP fanboys. AAP,-1
"BWD, stepping in short. I do not see the necessary volume to take this past 86.5. Set tight stops",-1
"Sensex, Nifty Likely To Start Session Sharply Lower In Gap-Down Opening",-1
ES_F path higher unthreatened unless 1452.25 support fails. See resistance at 1466.00 SPX #stocks.,1
"Green Weekly Triangle on HEO,.....Open Today Scaling",-1
"TSA some nice PVE here, but got rejected at 35.50 area again, keeping on watch for a push through",1
"Sensex, Nifty Set For Another Day Of Mayhem Amid Global Selloff, Coronavirus Fear",-1
AW eod trade catch the shorts long here 2.18+,1
Glad that the easy money trade is over. Every joker thought that making money in the market is synonym with getting long AAP,-1
DAKT volume indicate coming explosion to the upside? entry 11.72 stop 11.21,1
All of the above: gme Gamestop short targets spy,-1
"it started ugly for NFX today, even though you saw higher at open,",-1
Surprise! GOOG chairman Eric Schmidt uses.. a BBY,1
FOD long 2.87,1
More names with a Bearish Engulfing candle pattern:IBT BECN AYI HCG MO SG MP EG BMS CEN WIE INE,-1
Moody's Cuts India GDP Growth Forecast To 2.5% In 2020,-1
Very bullish on market also talked trends for SCTY OST ANGI FIO PANW A JCP P YEP MNST GPN on show.,1
"ABC 123 Clearing up and out of a nice base, #Drugs PJP SPX SPY",1
NVDA the bounce continues and the stock has now cleared its 200SMA and the 13 level. ong,1
Ops Misstype ! user Better to buyback BAC 12.62-65 on high volume IMO,1
"Sensex Slumps Over 1,000 Points From Day's High; Banks Under Pressure",-1
"SPY ncle Ben needed to spice up things a little. AAP people were bored, wake up now.",-1
One of the enduring changes from the pandemic could be a major reassessment of the complex global supply chains forâ€¦,-1
Industrial Output Rises 2% In January,1
"So, What That Mean? for DVAX",1
CAT FED going to buy Tractors too??? I don't think so! Should be down 4-5% today imo!,-1
"Sensex ends 1,862 points higher at 28,536, Nifty reclaims 8,300 as markets extend gains to second straight day #Sensex #Nifty #MarketUpdates",1
CS Short Setup:,-1
AMZN has momentum. Its a better buy than AAP or GOOG for now. Close above 270 might push it to 300 quickly.,1
VXY 10 on AAP conference call,-1
FTC decision on FHTM will have ripples throughout the whole industry dumb dumb! HF NS SNA,-1
DVAX witnessed a record number of call and put contracts during the busy trading session.,1
DK Over 34.75 for a continuation,1
NFX OI loading up in OTM Calls,1
DDD needs to clear 35.80 and get up to 38 or else we're gonna get short term chop!,1
AAP Ok... this action makes no sense. >>>> Yes it make Sense : ook Daily Volume since 3 days ...,-1
"AAP Head and Shoulders pattern plays out, one for the textbooks",-1
CSOD #beastmode,1
New ong entry - IBM Big Blue Flashes Green -,1
Check out today's Journal podcast on how corporate debt may be the next coronavirus financial crisis,-1
TWI like this long 24% short...,1
AAP bounced back to the trendline. Should it break above? I still short here,-1
OCN running IGHT NOW,1
"Stunning as the drop in jobs in March was, it masked the true depth of the decline. And it is just the beginning.",-1
PG got some of this looks good in favor with many like it target .20++++,1
"Sensex Falls Over 500 Points; Reliance Industries, HDFC Bank Top Drags",-1
"WMT BOOM:Feb sales started slower than planned,due . . .to delay in income tax refunds, Bill Simon,CEO WMT.S #IT'SWOSETHANYOTHINK",-1
PWE and the crazy HAO is in Green Weekly Triangle are you in short or long,-1
CVM announced that its Taiwanese partner has added two additional clinical centers in Phase III cancer clinical trial for Multikin,1
WEN Ho hum new 52 week high CA SPY DIA,1
X Did .S. Steel Just Breakout? MT too,1
HES the latest target of increasing energy-focused activist investing. Investors can cash in. OXY,1
"MCP don't catch that knife, if you think it will survive define risk buy some January 2015 EAP option and forget about it till then...",-1
time to get out of the #cloud stocks VMW CM ~~> valuations finally coming to earth...thankyou...,-1
Nice B/O for BMY today. Not a lot of volume though. First pullback to confirm.,1
just know your gut will betray you quite often in the trade em thing. even on CEG.,1
"IPHI ....that would be called a spike, lol, in at .49",1
"Sensex opens 1,075 points higher at 27,056, Nifty starts day above 7,800 amid gains in Asian markets #Sensex #Nifty #MarketUpdates",1
"Does AA hold the key for the SPX? When AA is up on earnings, SPX up +1.90% a mo. later.",1
ONG BVSN 11.16 stop 11.,1
Heard on the Street: Booming sales at supermarkets as well as e-commerce companies such as Amazon will be partiallyâ€¦,1
ong setup SM,1
Medical-product companies with female directors recall products with high severity issues 35% faster than those witâ€¦,1
GPS wow that wa s a fast fast fade...,-1
ABT - Abbott breaking out yday. Cup w/ tea and crumpets? handle Jan.,1
A few names with a Bearish Engulfing candle pattern: AEX AFG ASFI ATHN BECN TMH GW FO MHK IBN CS AOS BT AIXG JBHT NHI,-1
says you might double your money in closed end fund GSVC this year if Twitter pulls off a good IPO.,1
"JCP 1x2 ratio spread goes off in May. Buying 30,000 16P for 1.57 and selling 60,000 12P for .45 against lower OI. Opening position",-1
"JCP J.C. Penney Company Bullish Option Trade precedes huge up move in the stock buying 11,500 calls 5 days ago",1
BAC It is the effect of WFC... so it SHOD be over in half-hour... I'm moderately Bullish,-1
"Green Weekly Triangle on SONC,....Sell Short at 10.96",-1
"While bank shares stumbled, the rest of the stock market took off today. Dow up 2.4%, Nasdaq up 4%:",-1
MA daily had red dot but will confirm it with cross of PWmo2 white.,-1
Watchlist for bounces MHP 47.45 COH 49.15 AMZN 265 4TA 98 A OOK IKE GD ONGS FOM HEE,1
"Hero, Fiat Shut Manufacturing Plants In View Of Coronavirus",-1
"GMC really like how this one continues to hold up so well, volume on the up days",1
GEVO the beginning of a new uptrend:,1
5 small caps being shorted heavily - JCP DECK TSA HF ITT. - All have their own unique problems.,-1
"Sensex opens 1,564 points lower at 31,214, Nifty starts day at 9,108 amid record fall in global markets over corona…",-1
AAP I imagine the bears jumping up and down on that 433.. got it down 0.25 in 30 minutes,1
"ADBE SHOT! will see around 17 - 20 very soon, 39 is to much for adbe, thanks and have a good day.",-1
FS from watch list just over line with volume of 8% of full day average,1
"ong in BBBY after beating 159,07 . Stop loss in 59,74",1
ACX No negatives here. Just an algo bringing it down. Here's a chance to get stock cheap. BBH XV,1
CSCO MSH! MSH! MSH!! 21.00 c'mon mon..,1
AAP holding weekly puts.,-1
AON Stop oss in 58.96 after beating 59.30,1
CF The trend is over. Time to step aside and wait for the next one.,-1
"TSCO nice setup here, maybe sideways a few more days then a close above 105 to seal the deal.",1
SPY triggered at 10:30 AM sorry _ got tied up with AAP,-1
AMZN GOOG and CM move higher as the NQ_F turns green,1
EXX is tempting to breakout above 14.50 following an eps beat and with positive trends. #breakout,1
"eview Of Open Positions - Stocks - featuring SWI, JPM, GMC, TWX, ASGN, FNP, KOS, CAF, JOE, S",1
"AMZN VOME is a go, big boys grabbing some stocks. Higher prices to come.",1
"GS the current fib level support is 152.05. It bounce off of it today, not sure it will have the same luck next time it re-test.",-1
"V been pounding the table on this one, outperforming SPY, MA, needs follow thru to seal the deal",1
Think GMC is the next mini NFX in the making. Earnings are around the corner. Needs watching how it behaves going into it?,1
Me too but NFX has been kicking my A!,-1
DCTH Back over 1.52 - 1.55 is you like volatility and low priced ones,1
GMX close to the fence.,-1
VSN pulling out of the station,1
AAP Sold because the CNBC dump is coming,-1
GS a text book trendline break intraday -,-1
I want to frame this post u sent me....you may have been only one to read it lol ssys,-1
"NFX took one more piece off here, my final tgt 194ish",1
#China #CoronavirusPandemic The economy was forced into a paralysis in late January as the epidemic that first st…,-1
"WMT added some more calls today, might be good , gapped down before earnings the last 2 times, then rose over the next two weeks",1
IWD short 15 to 13.50,-1
AFFY break down the support line 18.41,-1
i wonder what metric Elon Musk will try to get analysts to focus on as it matures and grows as a public company ...#notacarcompany tsla,1
VXY 9 here we come - AAP Blowout,-1
RT : Oil jumps on hopes for an end to the price war between Saudi Arabia and Russia and the possibility of action from the Whitâ€¦,1
".. AAP 600 is too far, highly unlikely crosses 557 ever again. Will C - More than likely now. 425 is next level 2 watch",-1
â€œBond funds still make sense.â€ Negative rates wonâ€™t change that,-1
ISIS we open anywhere here or under 16.75 we see 17.25 - easiest .50 cent trade ever,1
GOOG and AAP they want out for April earnings?,-1
"Financials XF have been driving this mkt higher, today they are weak-ish (except for JPM) for 1st time in while, little red flag 1...",-1
"eal estate on fire this morning wit GY and Z, Z only up 4 since the open #NewMomoStocks",1
"Sensex, Nifty Likely To Open Higher After Worst Day Ever",1
DK from watch list just over lien with volume of 27% of full day average,1
eally considering adding some of those water utility names. WT AWK MSEX YOW SJW AW CWT Might pick 3 or so. ike the divi's,1
"yup user: BAC JPM easoning is nothing more than innuendos, speculation, and well crap. Mayo should be ashamed",1
"Sensex, Nifty Struggle To Stay Positive Amid Volatile Trade",-1
AAP moving down with volume. Couldnt cope with the descending trend line. Trend is still down. Perhaps 460 is not impossible after all.,-1
Market Wrap Video + Additions to Watch ist including: AGO AS CHK CVA GA NFX GP - by My Valentine,1
"PNA trying to break the DT line again and already at average daily volume, earnings tonight",1
MSFT Waiting for break out of bull flag+horizontal channel,1
AAP is Sinking....,-1
"sweet money, I need another 1.8% to scaling in Sell Short again CSN",-1
415/425 by end of wk imho AAP,-1
SHOT JPM 49.92 stop 50.03.,-1
AAP Did we just break a downtrend? Yes. Did we hold it into close? Yes. Did we bypass the monthly op ex pin? Yes. Are headed higher? Yes.,1
Consumer Inflation Eases To 6.58% In February,1
WH gap filled,1
BONT a gap up like this may cuz it to go little higher to test 14 but we retest 13.00 for sure,-1
"Screw GS utilization lag on BP, I think it's a solid buy! ook at that div, and MP's are hot right now. Oil still needs to be moved",1
New Sony pre-owned block tech patent unearthed SNE ... 50% of GME profits from pre owned ..last one out turn off the lights,-1
PCN - long entry,1
HD bullish after it?s results. ong if beats 67.24. Stop loss 66.64,1
Rupee Slips By 48 Paise To 76.08 Against Dollar Amid Coronavirus Scare,-1
ong in NG after beating 25.16. Stop loss in 25.09.,1
SECâ€™s Clayton Says Companies Should Disclose Need for Bailout Funds,-1
short MS small,-1
IMM from watch list gapped a bit over line to 20-day MA with good volume of 15% ave full day,1
any thoughts on short entrance on GS,-1
Rupee Jumps To Return To 74 Levels Against Dollar After RBI Announcements,-1
"WFM - looks like a bear flag, we are short, will respect the flag and exit on a close above",-1
"HAO b/out 7.20, price was rejected at 7.19 today, also high on 12/21",1
Maruti Suzuki March Sales Plunge Nearly 50% Amid Coronavirus Outbreak,-1
OCZ long with a tight stop. lets see if it has the momo to go,1
Has anyone shorted KEX? What price?,-1
SNTS kills it,1
â€œWe havenâ€™t really seen markets reflect the full extent of the damage that coronavirus is having to corporate profiâ€¦,-1
AAP - It's time to invest in Apple shares?,1
Great rotation.. Grasso confirming what I have been saying here for a while; Money coming out of AMZN and buying AAP,1
